"","iliad.txt","odyssey.txt"
"rear'd;",3,0
"rear,",10,1
"rear.",2,0
"rear:",3,0
"rear;",3,0
"rears",1,0
"rears,",3,0
"rears;",1,0
"reason",21,9
"reason,",3,1
"reasonable",2,7
"reasonableness",1,0
"reasonably",1,4
"reasonings",1,0
"reasons",2,2
"rebated,",1,0
"rebel",1,0
"rebel,",1,0
"rebel-war",1,0
"rebell'd.",1,0
"rebelling",1,0
"rebellion",3,0
"rebellious",2,0
"rebellow",2,0
"rebels.",1,0
"rebound.",5,0
"rebuke",1,0
"rebukes,",1,0
"recall",2,3
"recall'd",2,0
"recall'd,",1,0
"recall,",1,0
"recall:",1,0
"recalled,",1,0
"recalls",2,0
"recalls.",1,0
"recede",3,0
"recedes",1,0
"recedes,",5,0
"receding",1,0
"receipt",2,2
"receive",24,6
"receive,",3,0
"receive:",1,0
"receive;",2,0
"received",37,18
"received,",5,0
"received:",1,0
"receives",12,0
"receives,",1,0
"receiving",8,3
"recent",4,2
"recently",1,0
"reception,",1,0
"recess",1,0
"recesses",4,0
"recital",3,0
"recitation",1,0
"recitation;",1,0
"recitations,",1,0
"recitative,",1,0
"recite",1,0
"recite!",1,0
"recite,",3,0
"recited",3,0
"reciter.",1,0
"reciters",1,0
"reciting",1,0
"reckless",1,0
"reckon",1,2
"reclaim)",1,0
"reclaim,",1,0
"reclaim.",1,0
"recline,",1,0
"reclined",2,1
"reclined,",6,0
"reclined.",1,0
"reclined;",1,0
"reclining",1,1
"reclining,",1,0
"recognising",1,2
"recognize",2,0
"recognized",3,0
"recollect",1,0
"recollected,",1,0
"recollection",1,0
"recommend",1,1
"recommendation",1,0
"recompense",2,0
"recompense;",1,0
"reconcile",2,0
"reconciled",2,0
"reconciled.",1,0
"reconciled:",1,0
"reconciliation",1,0
"reconciliation.",1,0
"reconciling",1,0
"record",3,0
"recorded",1,0
"recording",1,0
"records.",1,0
"recount",1,0
"recounting",1,0
"recounts",1,0
"recover'd",1,0
"recovers",2,0
"recreant",2,0
"recruit",1,0
"recruited",1,0
"recurrence",1,0
"recurs",1,0
"red",30,5
"red,",4,0
"red-hissing",1,0
"red;",1,0
"reddening",3,0
"reddens",1,0
"redeem",3,0
"redeem'd",4,0
"redeem;",1,0
"redeeming",1,0
"redemption",2,0
"redistribute",1,1
"redistributing",2,2
"redistribution",1,1
"redistribution.",1,1
"redoubled",3,0
"redoubling",3,0
"redress",2,0
"redress'd,",2,0
"redress?",1,0
"reduce",1,1
"reduced",1,2
"reducing",1,0
"redundancy",1,0
"redundancy:",1,0
"reed",1,0
"reeds",4,1
"reeking",19,1
"reel",1,0
"reel'd",1,0
"reeling",2,0
"refer",1,2
"reference",7,2
"references",2,5
"referred",4,4
"referred.",1,0
"referred;",1,0
"refers",1,1
"refined",2,0
"refinement",1,0
"refinement,",1,0
"refines",2,0
"reflect",5,0
"reflect,",2,0
"reflected",3,1
"reflecting",2,0
"reflection",1,0
"reflection,",2,0
"reflections",2,0
"reflections;",1,0
"reflects",3,0
"refluent",1,0
"refractory",1,0
"refrain",1,3
"refrain'd",1,0
"refrain,",2,0
"refresh",6,0
"refresh'd",2,0
"refresh'd,",1,0
"refreshed",1,2
"refreshing",1,0
"refreshment",1,1
"refreshment,",1,0
"refuge",2,1
"refulgent",34,0
"refulgent,",2,0
"refund",7,7
"refund""",1,1
"refund,",1,0
"refund.",2,2
"refusal",3,0
"refuse",5,5
"refuse,",3,0
"refuse.",1,1
"refused",3,0
"refused,",5,0
"refused.",1,0
"refuses",1,0
"refusing",1,1
"refute",1,0
"regain",3,0
"regain'd",1,0
"regain'd,",1,0
"regain,",2,0
"regains",1,0
"regal",5,0
"regard",17,4
"regard,",1,0
"regarded",5,0
"regardful",1,0
"regardless",3,0
"regardless,",1,0
"regards",1,18
"regent",1,0
"regie",1,0
"region",9,2
"regions",9,0
"regions,",1,0
"registered",2,2
"regret",2,0
"regret,",1,0
"regrets",1,0
"regretted",1,0
"regular",5,0
"regular,",2,0
"regular.",1,0
"regularity,",1,0
"regularly",1,0
"regulating",1,1
"regulation.",1,0
"reign",6,3
"reign!",1,0
"reign'd,",2,0
"reign'd;",2,0
"reign,",20,0
"reign,(226)",1,0
"reign.",3,0
"reign.""",1,1
"reign:",3,0
"reign;",4,0
"reign?""",1,0
"reigned",2,5
"reigning",1,0
"reigns,",1,1
"rein'd",4,0
"rein,",9,0
"rein.",1,0
"rein:",3,0
"rein;",7,0
"reins",8,2
"reins!",1,0
"reins,",9,0
"reins.",4,0
"reins:",3,0
"reins;",3,0
"reinspires",1,0
"reject",1,0
"reject,",1,0
"rejected",3,0
"rejected,",1,0
"rejecting",1,0
"rejects",6,1
"rejoice",1,5
"rejoice,",1,0
"rejoiced,",1,1
"rejoices",1,0
"rejoicing",4,2
"rejoin'd",2,0
"rejoin'd)",4,0
"rejoin'd,)",3,0
"rejoin'd:",1,0
"rejoin'd:)",1,0
"rejoin'd;)",1,0
"rejoins",1,0
"rekindled",1,0
"rekindled,",1,0
"rekindles,",1,0
"rekindling",1,0
"relate",3,1
"relate,",1,0
"relate.""",1,0
"related",3,0
"relates!)",1,0
"relating",2,0
"relation",2,1
"relative",1,0
"relax",2,0
"relax'd",1,0
"relax'd,",1,0
"relaxing",1,0
"release",5,1
"released",1,0
"relent",1,0
"relent;",1,0
"relenting",3,0
"relentless",6,0
"relentless,",3,0
"relic",1,0
"relics",15,0
"relics,",1,0
"relics?",1,0
"relief,",4,1
"relief--all",1,0
"relief.",1,0
"relief.""",1,0
"relief:",1,0
"relief;",1,0
"reliefs",1,0
"relieve",6,0
"relieved",2,3
"relieves",1,0
"religion",4,0
"religion,",1,0
"religion.",1,0
"religions,",1,0
"religious",5,1
"reluctance",1,0
"reluctant",2,0
"reluctant,",1,0
"reluctantly",1,0
"remain",11,11
"remain!",4,0
"remain'd",1,0
"remain'd,",2,0
"remain'd.",3,0
"remain,",11,1
"remain.",2,0
"remain.""",1,0
"remain:",1,0
"remain;",6,0
"remain?",2,0
"remainder",1,0
"remained",1,8
"remaining",6,2
"remains",27,4
"remains!",3,0
"remains,",6,0
"remains.",3,0
"remains.""",1,0
"remains:",1,0
"remains;",2,0
"remains?",1,0
"remains?""",1,0
"remark",2,1
"remarkable",3,3
"remarkable,",1,0
"remarked",2,0
"remarked,",2,0
"remarked.",1,0
"remarked:",1,0
"remarking",1,0
"remarks",8,3
"remarks,",2,0
"remarks:--",1,0
"remedies",1,1
"remember",5,17
"remember,",1,0
"remembered,",1,0
"remembered.""--",1,0
"remembrance",4,0
"remiss,",1,0
"remissive",1,0
"remit",1,0
"remnant",1,0
"remodelled",1,0
"remonstrance",1,0
"remonstrances",1,0
"remorse",1,0
"remote",8,1
"remote,",4,0
"remotest",7,0
"remount",1,0
"remounts",1,0
"remove",3,3
"remove:",1,0
"remove;",1,0
"removed",5,3
"removed,",3,0
"removed.",1,1
"removed.""",1,0
"removes",1,0
"removes,",4,0
"removing",1,3
"remurmur",2,0
"remurmur'd",1,0
"renamed.",2,1
"rend",6,0
"rend,",4,0
"rend.""",1,0
"rend:",2,0
"rend;",1,0
"render",4,1
"rendered",5,1
"renders",4,0
"rending",1,0
"rends",12,0
"rends,",2,0
"rends,)",1,0
"rends.",2,0
"rends:",2,0
"rends;",2,0
"renew",2,0
"renew'd",2,0
"renew'd.",1,0
"renew(134)",1,0
"renew,",2,0
"renew.",2,0
"renew:",1,0
"renew;",2,0
"renewed",2,0
"renewing",1,0
"renews",6,0
"renews,",4,0
"renews.",2,0
"rennell,",1,0
"renounce",4,0
"renounced,",1,0
"renovating",1,0
"renown",5,2
"renown'd",12,0
"renown'd!",1,0
"renown'd,",11,0
"renown'd,)",1,0
"renown'd.",1,0
"renown'd:",5,0
"renown'd;",4,0
"renown,",5,2
"renown.",1,0
"renown:",1,0
"renowned",1,1
"renowned.",1,0
"rent",9,2
"rent,",2,0
"rent.",1,0
"rep.",2,0
"repaid,",3,0
"repair",3,0
"repair,",6,0
"repair.",2,0
"repair.""",1,0
"repair;",3,0
"repairing",1,0
"repairs",1,0
"repairs,",1,0
"repairs.(175)",1,0
"repairs;",1,0
"repast",8,0
"repast,",3,0
"repast.",2,0
"repast;",1,0
"repasting,",1,0
"repasts",1,0
"repay",2,1
"repay!",1,0
"repay,",1,0
"repay.",2,0
"repays",1,0
"repeat",5,2
"repeat,",1,0
"repeated",6,1
"repeated.",1,0
"repeatedly",1,1
"repeating",1,1
"repel",9,0
"repel,",2,0
"repell'd",4,0
"repell'd)",1,0
"repell'd,",2,0
"repell'd.",1,0
"repell'd:",1,0
"repelled",1,0
"repelled,",1,0
"repent",2,0
"repent.",1,0
"repentance",1,0
"repentant",1,0
"repetition",2,0
"repetition,",1,0
"repetitions",1,0
"repetitions,",1,0
"repetitions.",1,0
"repine,",1,0
"repine:",1,0
"repines",1,0
"replace",2,1
"replaced",1,0
"replacement",5,5
"replied",2,45
"replied)",6,0
"replied),",1,0
"replied,",1,1
"replied,)",4,0
"replied:",16,0
"replied:(194)",1,0
"replied:)",1,0
"replied;",3,0
"replied;)",2,0
"replies",2,0
"replies)",10,0
"replies),",2,0
"replies):",1,0
"replies,",9,0
"replies,)",2,0
"replies:",19,0
"replies;",1,0
"replies;)",2,0
"reply",1,1
"reply)",2,0
"reply,",2,1
"reply.",3,0
"reply:",7,0
"reply;",2,0
"repondre",1,0
"report",3,0
"report,",1,0
"reported",2,1
"reports,",1,1
"repose",1,0
"repose,",4,1
"repose.",1,0
"repose.""",1,0
"repose.""(214)",1,0
"repose.(79)",1,0
"reposing",1,0
"represent",2,0
"representation",1,0
"representations",2,1
"representatives",2,0
"represented",5,0
"represented,",1,0
"represented.",1,0
"representing",1,0
"represents",3,0
"repress'd,",2,0
"repress'd.",1,0
"repress'd;",1,0
"repressing",3,0
"reprieved",1,0
"reprimanded",1,0
"reprisal",1,0
"reproach",9,2
"reproach!",1,0
"reproach,",1,0
"reproaches",8,0
"reproaches,",1,0
"reproachful",1,0
"reprobate!",1,0
"reproduce.",1,0
"reproof",2,0
"reproof.",1,0
"reproofs",2,0
"reproved:",2,0
"reproves.",1,0
"reptile",1,0
"republican",1,0
"repugnant",1,0
"repuls'd,",1,0
"repulse",2,0
"repulse,",1,0
"repulsed",8,0
"repulsed,",5,0
"repulses",1,0
"repulsive",2,0
"reputation",4,0
"reputation.",2,0
"reputed",2,0
"request",5,0
"request,",6,1
"request.",1,0
"request;)",1,0
"requests",1,0
"require",6,1
"require,",3,1
"require:",1,0
"require;",2,0
"required",8,2
"required,",1,0
"required;",2,0
"requirements",2,2
"requirements,",1,1
"requirements.",1,1
"requires",2,0
"requires.--it",1,0
"requires:",1,0
"requisite",2,0
"requite,",1,0
"requite?",1,0
"requites",1,0
"rescue",7,0
"rescue,",2,0
"rescued",5,0
"rescuing",1,0
"research",1,1
"research.",1,1
"resemblance",2,0
"resemble",1,2
"resembles",2,0
"resent",3,0
"resenting",1,0
"resentment",6,0
"resentment,",3,0
"resentment;",1,0
"resents",1,0
"reserved",4,0
"reserves",1,0
"reside,",2,0
"reside:",1,0
"resided",1,0
"resign",6,0
"resign'd",11,0
"resign'd,",7,0
"resign'd:",1,0
"resign'd;",2,0
"resign,",9,0
"resign.",1,0
"resign:",1,0
"resign;",5,0
"resign;(55)",1,0
"resigns",3,0
"resist",2,0
"resist,",1,1
"resistance",1,1
"resisting",1,0
"resistless",18,0
"resists",5,0
"resists,",1,0
"resolution",1,0
"resolution.",1,0
"resolve",1,0
"resolved",11,4
"resolved,",2,1
"resolves",9,0
"resolves,",1,0
"resolving",2,0
"resort;",1,0
"resound",4,0
"resound,",11,0
"resound.",15,0
"resound:",1,0
"resound;",8,0
"resound;)",1,0
"resounded",5,2
"resounding",10,0
"resounds",1,2
"resounds,",3,0
"resounds.",3,0
"resounds;",3,0
"respect",16,14
"respectful",1,0
"respectful,",1,0
"respecting",10,0
"respective",1,0
"respects",1,0
"respire",2,0
"respired",1,0
"respite",2,1
"respite,",1,0
"respited",1,0
"resplendent",4,0
"responsible,",1,0
"responsive",1,0
"rest",56,38
"rest,",24,7
"rest,)",1,0
"rest.",9,4
"rest.""",3,1
"rest.""--classic",1,0
"rest:",2,0
"rest;",8,1
"rest?",1,0
"rest?(78)",1,0
"rested",3,2
"rested,",2,0
"resting",1,1
"resting-place,",1,0
"restive",1,0
"restless",5,0
"restless,",1,0
"restor'd,",1,0
"restoration",2,1
"restore",15,0
"restore,",6,0
"restore.",1,0
"restore:",2,0
"restore;",1,0
"restored",8,1
"restored,",6,0
"restored.",1,0
"restored;",1,0
"restored?",1,0
"restores",5,0
"restoring",2,0
"restrain",3,3
"restrain'd",6,0
"restrain'd,",1,0
"restrain'd:",1,0
"restrain,",5,0
"restrain;",1,0
"restrained",1,1
"restrains",4,0
"restrains,",2,0
"restrains:",1,0
"restrains;",1,0
"restrictions",2,2
"rests",3,4
"rests,",2,0
"result",6,0
"result.",1,0
"result?",1,0
"resulted",1,0
"resulting",2,0
"resume",2,1
"resumed",1,1
"resumed--the",1,0
"resumed.""",1,0
"resumed;",1,0
"resumes",3,0
"resumes,",1,0
"retain",1,0
"retain,",1,0
"retain:",1,0
"retained",1,0
"retains",3,0
"retains,",1,0
"retard",1,0
"retards",1,0
"retentive",1,0
"retir'd",1,0
"retire",4,0
"retire,",17,0
"retire.",2,0
"retire.""",1,0
"retire;",4,0
"retired",8,1
"retired,",6,1
"retired.",1,0
"retired:",1,0
"retired;",6,0
"retires",5,0
"retires,",2,0
"retires.",6,0
"retires:",4,0
"retires;",3,0
"retiring",6,0
"retorted",2,0
"retorts",1,0
"retreat",7,0
"retreat,",5,0
"retreat:",1,0
"retreat;",1,0
"retreating",2,0
"retreating,",3,0
"retreats",2,0
"retreats,",1,0
"retreats.",1,0
"retribution.""--mure,",1,0
"retributive",1,0
"retrieve",2,0
"retrieves",1,0
"return",42,75
"return!",1,0
"return!'",1,0
"return'd",14,0
"return'd,",4,0
"return'd.",3,0
"return'd:",4,0
"return'd:--""austere",1,0
"return'd;",2,0
"return'st",1,0
"return)",1,0
"return,",17,12
"return.",1,5
"return:",3,0
"return;",1,3
"return?""",1,0
"returned",2,15
"returning",10,6
"returning,",1,0
"returns",9,3
"returns)",1,0
"returns,",1,0
"returns.",2,1
"returns.""",1,0
"returns:",1,0
"returns;",1,0
"rev.",1,0
"reveal",5,0
"reveal'd",6,0
"reveal'd,",1,0
"reveal'd--""hear,",1,0
"reveal'd.",1,0
"reveal'd;",1,0
"reveal,",1,0
"revealed",1,1
"reveals",1,2
"revel",2,0
"revenge",24,13
"revenge,",14,0
"revenge.",1,4
"revenge;",1,0
"revenged",1,0
"revengeful",2,0
"revenges",1,0
"revenging",1,0
"revenue",1,1
"revenues",1,0
"revere",3,0
"revere!",2,0
"revere,",1,0
"revere:",1,0
"revered",5,0
"revered.",1,0
"reverence",5,1
"reverence,",2,0
"reverend",32,0
"reverent",2,0
"reverential",1,0
"reveres",1,0
"reverse",2,0
"reversed",3,0
"revert,",1,0
"reverts",1,0
"review",4,0
"review,",3,0
"reviews",1,0
"revile.",1,0
"reviles:",1,0
"revised",1,0
"revive,",1,0
"revived",1,0
"revives",2,0
"revives.""",1,0
"revolting",1,0
"revolutions,",1,0
"revolve,",1,0
"revolved",2,0
"revolves;",1,0
"revolving",10,0
"revolving,",1,0
"reward",11,0
"reward,",2,0
"reward.",1,0
"reward:",2,0
"reward?",1,0
"rewarded",1,0
"rewards",2,0
"rewards,",1,0
"rhadamanth",1,0
"rhapsodes.""(26)",1,0
"rhapsodes;",1,0
"rhapsodic",1,0
"rhapsodies",1,0
"rhapsodies,",2,0
"rhea,",1,0
"rhena",1,0
"rhesus",4,0
"rhesus'",4,0
"rhesus,",4,0
"rhesus.",2,0
"rhesus.]",1,0
"rhetorical",1,0
"rhigmas,",1,0
"rhodes",2,0
"rhodes,",1,0
"rhodes.",1,0
"rhodian",2,0
"rhodians;",1,0
"rhodius",1,0
"rhyming",1,0
"rhytion's",1,0
"ribb'd",1,0
"ribs",1,0
"rich",57,16
"rich,",4,3
"richard",1,0
"riches",8,2
"riches.",1,0
"richest",3,1
"richest,",1,1
"richness",2,0
"rid",1,1
"riddle",1,0
"ride",1,0
"ride,",2,2
"ride.",1,0
"ride;",3,0
"rides,",1,0
"ridges",1,0
"ridicule",1,0
"ridiculous",2,1
"riduce",1,0
"rifle",1,0
"rifled",1,0
"right",23,60
"right,",9,4
"right.",5,1
"right.""",4,1
"right:",2,0
"right;",3,1
"right?",1,0
"righteous",5,1
"rightly",1,0
"rights",1,0
"rigid",3,0
"rill;",1,0
"rills",1,1
"rills,",4,0
"rills:",1,0
"rills:)",1,0
"rills;",2,0
"rim",1,0
"rim,",3,2
"rinaldo",2,0
"ring",7,2
"ring,",5,0
"ring:",1,0
"ring;",1,0
"ringing",8,1
"ringlets",3,0
"rings",12,0
"rings,",2,0
"rings.",2,0
"rings:",2,0
"rings;",1,0
"ripe",3,0
"ripe,",1,0
"ripen'd",2,0
"ripened",1,0
"ripening",1,0
"riposo,",1,0
"ripp'd",1,0
"rise",27,4
"rise!",3,0
"rise,",40,0
"rise,(272)",1,0
"rise.",9,1
"rise:",6,0
"rise;",10,0
"rise?",1,0
"rise?""",1,0
"riserba,",1,0
"rises",15,0
"rises,",6,1
"rising",68,7
"rising,",10,1
"risk",1,0
"rite",4,0
"rite!",1,0
"rite)",1,0
"rite,",2,0
"rite.",2,0
"rite;",2,0
"rites",24,6
"rites,",5,0
"rites.",2,2
"rival",13,0
"rival's",6,0
"rival,",1,0
"rivalled",2,0
"rivalry,--it",1,0
"rivals",2,0
"rivals'",1,0
"rivals,",3,0
"riven",2,0
"river",22,16
"river's",1,0
"river,",3,7
"river.",3,5
"rivers",7,4
"rivers,",1,0
"rivers.",2,0
"rivers.]",1,0
"rivets",1,0
"road",3,9
"road!",1,0
"road,",5,1
"road.",3,3
"road;",1,0
"roam",2,0
"roam!",1,0
"roam;",1,0
"roaming",1,0
"roar",7,1
"roar!",2,0
"roar'd",2,0
"roar'd:",1,0
"roar,",9,0
"roar.",3,1
"roar:",1,0
"roar;",2,0
"roaring",10,3
"roaring,",1,0
"roarings",2,0
"roars",7,0
"roars,",9,0
"roars.",1,0
"roars:",2,0
"roars;",1,0
"roast",2,4
"rob",4,3
"robb'd",5,0
"robb'st",1,0
"robbers,",1,1
"robbery,",1,0
"robe",3,3
"robe,",2,0
"robes",1,1
"robs",1,0
"rock",14,28
"rock's",4,0
"rock,",6,4
"rock.",3,0
"rock._",1,0
"rock;",2,0
"rocke,",1,0
"rocking",1,0
"rocks",13,20
"rocks,",7,6
"rocky",13,3
"rocky,",1,0
"rod,",2,0
"rode",3,2
"rode;",1,0
"roe",1,0
"roll",20,2
"roll'd",22,0
"roll'd,",15,0
"roll'd.",2,0
"roll'd;",2,0
"roll,",9,0
"roll.)",1,0
"roll:",1,0
"roll;",2,0
"roll?",1,0
"rolled",1,2
"rolling",32,2
"rolling,",2,0
"rolls",25,0
"rolls,",6,0
"rolls.",1,0
"rolls;",1,0
"roman",4,1
"roman,",1,0
"romance,",1,0
"romance.",1,0
"romances",1,0
"romans",1,0
"romulus.",1,0
"roof",7,12
"roof,",2,0
"roofs",3,0
"room",6,46
"rooms",3,1
"root",3,5
"rooted",9,1
"roots",2,2
"ropes",1,2
"roscoe's",1,0
"rose",18,20
"rose,",20,1
"rose.",3,0
"rose:",8,0
"rose;",7,0
"roseate",2,0
"rosy",12,0
"rosy-finger'd",1,0
"rotte",1,0
"rotunda,",1,0
"rough",14,6
"rough,",3,0
"roughftey",1,0
"roughness",1,0
"round",122,127
"round),",1,0
"round,",41,12
"round.",8,4
"round.""",1,0
"round.(223)",1,0
"round:",6,0
"round:)",1,0
"round;",8,1
"rounds,",1,0
"rouse",13,1
"rouse,",1,0
"roused",10,5
"roused,",1,0
"rouses",1,0
"rousing",3,0
"rout",8,0
"rout,",2,0
"routed",7,0
"routed,",1,0
"routed,)",1,0
"rove,",1,0
"rove;",1,0
"row",2,8
"row,",2,2
"row;",1,0
"rowe's",1,0
"rowe,",1,0
"rowed",1,2
"rows",2,2
"royal",40,1
"royalties",2,1
"royalties.",1,1
"royalty",3,3
"rubbish",1,0
"ruddy",5,0
"rude",2,2
"rude,",1,1
"rudely",1,0
"rudiments",1,0
"rueful",1,0
"ruffled",3,0
"rugged",4,4
"rugiade",1,0
"ruin",43,7
"ruin'd",3,0
"ruin,",1,0
"ruin:",1,0
"ruins",10,0
"ruins!",2,0
"ruins,",1,0
"rule",22,6
"rule,",4,3
"rule;",1,0
"ruled",9,4
"ruled,",1,0
"ruled;",1,1
"ruler",4,2
"ruler,",1,1
"ruler.",1,0
"rulers",5,2
"rules",9,1
"rules,",3,1
"ruling",2,0
"rumbling",1,0
"ruminate",1,0
"rumour,",1,0
"run",13,20
"run)",1,0
"run,",10,2
"run:",1,0
"run;",3,0
"run?",2,0
"rung",2,0
"rung,",3,0
"rung.",7,0
"rung;",5,0
"running",6,15
"runs",8,6
"runs,",3,0
"runs;",1,0
"rural",4,0
"rush",27,1
"rush'd",33,0
"rush'd,",1,0
"rush'd;",1,0
"rush,",2,1
"rushes",10,2
"rushing",40,2
"rustic",3,0
"rusticity.",1,0
"rustics",1,0
"rustling",5,0
"rustling,",1,0
"ruthless",6,0
"s/he",1,1
"sable",43,0
"sable,",1,0
"sack",1,3
"sack'd",2,0
"sacked",1,14
"sacks",1,0
"sacred",142,4
"sacred,",2,0
"sacredness",1,0
"sacrific",1,0
"sacrifice",11,20
"sacrifice!",1,0
"sacrifice,",11,2
"sacrifice.",2,2
"sacrifice.""",1,1
"sacrifice:",1,0
"sacrifice;",4,0
"sacrificed,",3,0
"sacrifices",2,6
"sacrifices.",1,0
"sacrificial",1,2
"sad",78,10
"sad!",1,0
"sad,",5,0
"sad.",1,1
"sadden'd",3,0
"saddens",1,0
"sadder",2,1
"sadly",5,4
"sadly,",1,0
"sadness",1,0
"safe",43,17
"safe,",1,0
"safely",2,17
"safer",2,1
"safest",1,1
"safety",17,0
"safety,",5,1
"safety.",1,0
"saffron",3,0
"sagacious",1,0
"sagacity",1,0
"sagacity,",1,0
"sagas",1,0
"sage",27,0
"sage!",1,0
"sage's",1,0
"sage,",5,0
"sage,)",1,0
"sage.",1,0
"sage.""",1,0
"sage:",5,0
"sages",3,0
"sai;",1,0
"said",26,265
"said)",12,0
"said),",2,0
"said);",1,0
"said,",79,173
"said,)",1,0
"said.",9,3
"said:",41,39
"said:)",2,0
"said;",25,2
"said;--new",1,0
"sail",11,33
"sail'd",2,0
"sail'd,",1,0
"sail,",3,4
"sail.",1,1
"sail;",2,0
"sailed",1,21
"sailing",2,8
"sailing,",1,0
"sailors",5,6
"sailors,",1,2
"sails",6,13
"sails,",1,7
"sails,(208)",1,0
"sails;",1,0
"saint,",1,0
"sake",4,3
"sake,",1,2
"sake.",1,1
"sake;",2,0
"salaminian",1,0
"salamis",1,0
"salamis.",1,0
"sally",1,0
"salt",5,13
"salted",3,0
"salubrious",1,0
"salute",2,2
"samatian",1,0
"same",94,57
"same!",1,0
"same!""",1,0
"same),",1,0
"same,",3,4
"same.",5,2
"same.(80)",1,0
"same;",1,0
"sameness",1,0
"samian,",1,0
"samos",1,1
"samos.",1,0
"samothracia,",1,0
"sample",1,0
"samuel",1,2
"sanctify",1,0
"sanction",6,0
"sanctuaries,",1,0
"sand",1,3
"sand!",2,0
"sand,",7,0
"sand,)",1,0
"sand.",4,1
"sand:",1,0
"sand;",1,0
"sand?",1,0
"sandals",3,9
"sands",9,4
"sands,",5,0
"sands.",1,0
"sands:",3,0
"sands;",3,0
"sandy",15,0
"sang",2,9
"sangar's",2,0
"sangarius,",1,0
"sanguigne.""",1,0
"sanguine",13,0
"sanguine,",1,0
"sank",8,4
"santa",1,0
"sapp'd",1,0
"saps",1,0
"saracen",1,0
"sarcastically",1,0
"sarpedon",25,0
"sarpedon's",8,0
"sarpedon,",3,0
"sarpedon.",2,0
"sat",23,59
"sat,",12,1
"sat.",2,0
"sat:",3,0
"sat;",4,0
"satan",1,0
"sate,",3,0
"sate.",2,0
"sate;",5,0
"satiate",2,0
"satiating",1,0
"satiety",1,0
"satires",1,0
"satisfaction",3,5
"satisfaction,",1,1
"satisfaction.",1,0
"satisfactorily",1,0
"satisfactory",1,0
"satisfactory,",1,0
"satisfied",5,5
"satisfied.",1,1
"satisfy",1,0
"satnio",2,0
"satnio's",1,0
"saturn",3,5
"saturn's",4,0
"saturn,",1,3
"saturnia",6,0
"saturnia's",4,0
"saturnia,",2,0
"saturnia;",1,0
"saturnius",3,0
"saturnius,",1,0
"savage",21,8
"savage,",2,2
"savages,",1,1
"save",36,21
"save,",2,0
"save.",2,0
"save.""",4,0
"save:",3,0
"save?",1,0
"saved",9,11
"saved,",1,0
"saved.",1,0
"saved;",1,0
"saves",4,0
"saving",2,0
"saviour,",1,0
"savours",1,0
"savoury",2,1
"saw",43,124
"saw'st",1,0
"saw,",16,1
"saw;",3,1
"saxo",1,0
"say",12,80
"say)",1,0
"say,",49,23
"say.",1,7
"say.""",1,0
"say:",4,0
"says",7,10
"says,",2,1
"says,--",1,0
"says,--""i",1,0
"scaea's",2,0
"scaean",12,0
"scalding",2,0
"scale",10,1
"scale)",1,0
"scale.",1,0
"scale.""",1,0
"scaled;",1,0
"scales",7,0
"scales,",1,0
"scales._",1,0
"scaliger",1,0
"scaliger,",1,0
"scaling",1,0
"scaly",3,0
"scamander",15,0
"scamander's",6,0
"scamander,",3,0
"scamander.",1,0
"scamander.""",1,0
"scamander.(269)",1,0
"scamander:",2,0
"scamandrius,",2,0
"scamandros,",1,0
"scandal",5,2
"scandalized",1,0
"scann'd",1,0
"scantling",1,0
"scarce",49,0
"scarcely",8,0
"scared",2,3
"scarf",1,1
"scarf,",1,0
"scarphe's",1,0
"scatter",5,0
"scatter'd",28,0
"scatter'd,",1,0
"scattered",6,1
"scattered,",1,0
"scattering",7,0
"scattering,",1,0
"scatters",4,0
"scatters,",1,0
"scene",45,2
"scene!",4,0
"scene!)",1,0
"scene,",6,1
"scene.",1,1
"scene;",1,0
"scenes",13,1
"scenes.",1,0
"scent.",1,0
"scents",1,0
"sceptic,",1,0
"scepticism",6,0
"scepticism.",1,0
"sceptre",17,3
"sceptre,",4,0
"sceptred",4,0
"sceptres",3,0
"sceptres,",1,0
"schedius",3,0
"scheme",1,7
"schemes",2,1
"schemes,",1,0
"schlegel",2,0
"schoenos,",1,0
"schol.",1,0
"scholar",1,0
"scholars",1,1
"scholars,",1,0
"scholars.",1,0
"scholastic",3,0
"scholia,",1,0
"scholos,",1,0
"school",3,1
"school,",2,0
"schoolfellows",1,0
"schroeder's",1,0
"schweigh",1,0
"science",3,0
"scipio",1,0
"scoffing,",1,0
"scoop'd",1,0
"scorch",1,0
"scorch'd",3,0
"scorching",2,0
"score",1,1
"score,",1,0
"scorn",16,0
"scorn!",1,0
"scorn'd",3,0
"scorn;",1,0
"scornful",5,0
"scornful,",1,0
"scorns,",1,0
"scotland.",1,0
"scott",1,2
"scour",6,0
"scourge",11,0
"scourge,",1,0
"scourged",1,0
"scourges",1,0
"scout",1,1
"scouts",1,3
"scrap-book,",1,0
"scratch",1,0
"scream",1,1
"scream,",1,1
"screaming",1,2
"screen",1,0
"screen'd",5,0
"scripture",1,0
"scripture.",1,0
"scrupuleuse",1,0
"scuds",1,0
"sculptor's",1,0
"sculpture,",1,0
"sculptured",2,0
"sculptures,",1,0
"scyros",1,1
"scyros'",1,0
"sdegni,",1,0
"sea",6,114
"sea's",2,0
"sea,",9,50
"sea-",1,0
"sea-beat",4,0
"sea-coast,",1,0
"sea-girt",1,3
"sea-god",3,1
"sea-green",2,0
"sea-shore,",3,0
"sea-shore.",3,0
